# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
par:27 size:842 edge:4195
par:28 size:842 edge:2529
par:29 size:843 edge:2795
par:30 size:841 edge:2507
par:31 size:842 edge:2859
par:32 size:842 edge:5237
par:33 size:841 edge:5025
par:34 size:843 edge:3162
par:35 size:842 edge:2942
par:36 size:842 edge:2872
par:37 size:844 edge:4275
par:38 size:841 edge:2855
par:39 size:841 edge:3381
par:40 size:842 edge:3062
par:41 size:842 edge:4337
par:42 size:844 edge:6740
par:43 size:841 edge:4496
par:44 size:841 edge:3835
par:45 size:843 edge:3059
par:46 size:844 edge:2440
par:47 size:844 edge:3485
par:48 size:844 edge:3112
par:49 size:844 edge:5955
par:50 size:844 edge:4256
par:51 size:844 edge:3985
par:52 size:844 edge:2742
par:53 size:844 edge:3241
par:54 size:844 edge:4004
par:55 size:844 edge:3619
par:56 size:844 edge:4928
par:57 size:844 edge:3947
par:58 size:844 edge:4457
par:59 size:844 edge:3038
par:60 size:844 edge:2745
par:61 size:844 edge:2424
par:62 size:844 edge:2832
par:63 size:844 edge:3692
------------
begin solve ../data/out.github
load data ok!
runtime:804
par:0 size:27977 edge:87732
par:1 size:28542 edge:44447
------------
begin solve ../data/out.github
load data ok!
runtime:1014
par:0 size:13706 edge:55439
par:1 size:14271 edge:49585
par:2 size:14271 edge:23756
par:3 size:14271 edge:22290
------------
begin solve ../data/out.github
load data ok!
runtime:1483
par:0 size:6570 edge:32131
par:1 size:7136 edge:42035
par:2 size:7133 edge:17469
par:3 size:7136 edge:23267
par:4 size:7136 edge:15126
par:5 size:7136 edge:17278
par:6 size:7136 edge:12146
par:7 size:7136 edge:13630
------------
begin solve ../data/out.github
load data ok!
runtime:2299
par:0 size:3002 edge:15718
par:1 size:3567 edge:24414
par:2 size:3568 edge:19076
par:3 size:3568 edge:15585
par:4 size:3568 edge:26169
par:5 size:3566 edge:9011
par:6 size:3568 edge:14926
par:7 size:3568 edge:8904
par:8 size:3568 edge:7771
par:9 size:3568 edge:8346
par:10 size:3568 edge:8161
par:11 size:3568 edge:7375
par:12 size:3568 edge:11468
par:13 size:3568 edge:7436
par:14 size:3568 edge:7918
par:15 size:3568 edge:6991
------------
begin solve ../data/out.github
load data ok!
runtime:3145
par:0 size:1218 edge:6844
par:1 size:1783 edge:11851
par:2 size:1784 edge:15518
par:3 size:1782 edge:6995
par:4 size:1784 edge:10774
par:5 size:1784 edge:14792
par:6 size:1784 edge:11006
par:7 size:1784 edge:16667
par:8 size:1784 edge:6017
par:9 size:1784 edge:7321
par:10 size:1784 edge:7598
par:11 size:1784 edge:10560
par:12 size:1784 edge:7710
par:13 size:1784 edge:6447
par:14 size:1784 edge:5140
par:15 size:1784 edge:5500
par:16 size:1784 edge:4936
par:17 size:1784 edge:5468
par:18 size:1784 edge:6888
par:19 size:1784 edge:5367
par:20 size:1784 edge:5440
par:21 size:1784 edge:4738
par:22 size:1784 edge:5267
par:23 size:1784 edge:4632
par:24 size:1784 edge:5303
par:25 size:1784 edge:5734
par:26 size:1784 edge:5617
par:27 size:1784 edge:4555
par:28 size:1784 edge:4733
par:29 size:1784 edge:4817
par:30 size:1784 edge:4639
par:31 size:1784 edge:4292
------------
begin solve ../data/out.github
load data ok!
runtime:3951
par:0 size:326 edge:1803
par:1 size:892 edge:5021
par:2 size:892 edge:7277
par:3 size:891 edge:5228
par:4 size:892 edge:7006
par:5 size:892 edge:6204
par:6 size:891 edge:4327
par:7 size:892 edge:10229
par:8 size:892 edge:4594
par:9 size:892 edge:4748
par:10 size:892 edge:8160
par:11 size:892 edge:5152
par:12 size:892 edge:7615
par:13 size:892 edge:4396
par:14 size:892 edge:4099
par:15 size:892 edge:4650
par:16 size:892 edge:4048
par:17 size:891 edge:4108
par:18 size:892 edge:4791
par:19 size:892 edge:3990
par:20 size:892 edge:4299
par:21 size:892 edge:4317
par:22 size:892 edge:4027
par:23 size:892 edge:3761
par:24 size:892 edge:4439
par:25 size:892 edge:3423
par:26 size:892 edge:4029
par:27 size:892 edge:4184
par:28 size:892 edge:3763
par:29 size:892 edge:4494
par:30 size:892 edge:4214
par:31 size:892 edge:4107
par:32 size:892 edge:4835
par:33 size:892 edge:3650
par:34 size:892 edge:3426
par:35 size:892 edge:5144
par:36 size:892 edge:4062
par:37 size:892 edge:3504
par:38 size:892 edge:3869
par:39 size:892 edge:3437
par:40 size:892 edge:4396
par:41 size:892 edge:6409
par:42 size:892 edge:4212
par:43 size:892 edge:3798
par:44 size:892 edge:4518
par:45 size:892 edge:4484
par:46 size:892 edge:4074
par:47 size:892 edge:4633
par:48 size:892 edge:3711
par:49 size:892 edge:3525
par:50 size:892 edge:4171
par:51 size:892 edge:3099
par:52 size:892 edge:4179
par:53 size:892 edge:3790
par:54 size:892 edge:3407
par:55 size:892 edge:4022
par:56 size:892 edge:3089
par:57 size:892 edge:3420
par:58 size:892 edge:4044
par:59 size:892 edge:3993
par:60 size:892 edge:3940
par:61 size:892 edge:3637
par:62 size:892 edge:3773
par:63 size:892 edge:3936
------------
begin solve ../data/out.github-swap.txt
load data ok!
runtime:943
par:0 size:59830 edge:40959
par:1 size:61037 edge:34288
------------
begin solve ../data/out.github-swap.txt
load data ok!
runtime:1255
par:0 size:29314 edge:30189
par:1 size:30509 edge:18557
par:2 size:30521 edge:18523
par:3 size:30523 edge:19204
------------
begin solve ../data/out.github-swap.txt
load data ok!
runtime:1766
par:0 size:14051 edge:19981
par:1 size:15260 edge:24773
par:2 size:15256 edge:11534
par:3 size:15260 edge:13192
par:4 size:15260 edge:11786
par:5 size:15260 edge:10711
par:6 size:15260 edge:10481
par:7 size:15260 edge:11464
------------
begin solve ../data/out.github-swap.txt
load data ok!
runtime:2535
par:0 size:6424 edge:13005
par:1 size:7631 edge:21046
par:2 size:7615 edge:8261
par:3 size:7629 edge:11650
par:4 size:7626 edge:6871
par:5 size:7628 edge:9495
par:6 size:7633 edge:14426
par:7 size:7626 edge:6522
par:8 size:7631 edge:7623
par:9 size:7630 edge:6674
par:10 size:7632 edge:8738
par:11 size:7631 edge:6852
par:12 size:7632 edge:6782
par:13 size:7633 edge:6154
par:14 size:7633 edge:6291
par:15 size:7633 edge:6828
------------
begin solve ../data/out.github-swap.txt
load data ok!
runtime:3450
par:0 size:2606 edge:6623
par:1 size:3815 edge:11451
par:2 size:3814 edge:5225
par:3 size:3815 edge:8373
par:4 size:3815 edge:10406
par:5 size:3814 edge:5134
par:6 size:3815 edge:10048
par:7 size:3814 edge:8018
par:8 size:3814 edge:6080
par:9 size:3815 edge:4729
par:10 size:3815 edge:13049
par:11 size:3815 edge:4384
par:12 size:3815 edge:4562
par:13 size:3815 edge:5161
par:14 size:3815 edge:5330
par:15 size:3815 edge:4244
par:16 size:3815 edge:4384
par:17 size:3815 edge:4833
par:18 size:3815 edge:5315
par:19 size:3815 edge:12953
par:20 size:3815 edge:3947
par:21 size:3815 edge:4832
par:22 size:3815 edge:4383
par:23 size:3815 edge:4655
par:24 size:3815 edge:4158
par:25 size:3815 edge:4305
par:26 size:3815 edge:4194
par:27 size:3815 edge:3985
par:28 size:3815 edge:4383
par:29 size:3815 edge:4673
par:30 size:3815 edge:4586
par:31 size:3815 edge:5098
------------
begin solve ../data/out.github-swap.txt
load data ok!
runtime:4009
par:0 size:699 edge:1547
par:1 size:1906 edge:4071
par:2 size:1907 edge:6229
par:3 size:1908 edge:10575
par:4 size:1908 edge:10937
par:5 size:1907 edge:4390
par:6 size:1907 edge:4502
par:7 size:1906 edge:4973
par:8 size:1907 edge:4094
par:9 size:1906 edge:4204
par:10 size:1907 edge:3889
par:11 size:1908 edge:7412
par:12 size:1908 edge:7304
par:13 size:1908 edge:4760
par:14 size:1906 edge:3643
par:15 size:1906 edge:3460
par:16 size:1906 edge:3884
par:17 size:1906 edge:4042
par:18 size:1906 edge:3947
par:19 size:1907 edge:4358
par:20 size:1907 edge:3883
par:21 size:1906 edge:3331
par:22 size:1907 edge:3872
par:23 size:1906 edge:3928
par:24 size:1908 edge:3706
par:25 size:1907 edge:3332
par:26 size:1907 edge:3444
par:27 size:1907 edge:4170
par:28 size:1906 edge:3631
par:29 size:1907 edge:3394
par:30 size:1908 edge:3614
par:31 size:1908 edge:3797
par:32 size:1907 edge:3619
par:33 size:1908 edge:3741
par:34 size:1908 edge:3694
par:35 size:1907 edge:4276
par:36 size:1908 edge:3870
par:37 size:1908 edge:4640
par:38 size:1908 edge:3821
par:39 size:1908 edge:3386
par:40 size:1908 edge:3703
par:41 size:1908 edge:4211
par:42 size:1908 edge:3799
par:43 size:1908 edge:3139
par:44 size:1908 edge:2835
par:45 size:1908 edge:4228
par:46 size:1908 edge:3388
par:47 size:1908 edge:3312
par:48 size:1908 edge:3655
par:49 size:1908 edge:4583
par:50 size:1908 edge:4879
par:51 size:1908 edge:3212
par:52 size:1908 edge:3274
par:53 size:1908 edge:3423
par:54 size:1908 edge:5180
par:55 size:1908 edge:4714
par:56 size:1908 edge:3486
par:57 size:1908 edge:3505
par:58 size:1908 edge:3625
par:59 size:1908 edge:3721
par:60 size:1908 edge:3954
par:61 size:1908 edge:3501
par:62 size:1908 edge:3192
par:63 size:1908 edge:4301
------------
begin solve ../data/out.actor-movie
load data ok!
runtime:3142
par:0 size:63272 edge:250803
par:1 size:64551 edge:212215
------------
begin solve ../data/out.actor-movie
load data ok!
runtime:4289
par:0 size:30998 edge:154879
par:1 size:32276 edge:160075
par:2 size:32275 edge:125343
par:3 size:32274 edge:109276
------------
begin solve ../data/out.actor-movie
load data ok!
runtime:6775
par:0 size:14865 edge:80345
par:1 size:16130 edge:102699
par:2 size:16134 edge:79452
par:3 size:16144 edge:104295
par:4 size:16139 edge:79525
par:5 size:16134 edge:76095
par:6 size:16136 edge:58003
par:7 size:16141 edge:56105
------------
begin solve ../data/out.actor-movie
load data ok!
runtime:10651
par:0 size:6791 edge:48590
par:1 size:8069 edge:67760
par:2 size:8069 edge:49656
par:3 size:8069 edge:68196
par:4 size:8069 edge:44121
par:5 size:8069 edge:63030
par:6 size:8069 edge:50120
par:7 size:8069 edge:61229
par:8 size:8068 edge:44470
par:9 size:8069 edge:41153
par:10 size:8069 edge:44185
par:11 size:8069 edge:40461
par:12 size:8069 edge:41860
par:13 size:8068 edge:36328
par:14 size:8069 edge:36144
par:15 size:8068 edge:34473
------------
begin solve ../data/out.actor-movie
load data ok!
runtime:13866
par:0 size:2756 edge:23019
par:1 size:4034 edge:32033
par:2 size:4034 edge:34857
par:3 size:4034 edge:32386
par:4 size:4035 edge:36609
par:5 size:4035 edge:35034
par:6 size:4034 edge:33041
par:7 size:4034 edge:31758
par:8 size:4035 edge:32062
par:9 size:4034 edge:31014
par:10 size:4034 edge:32951
par:11 size:4034 edge:33026
par:12 size:4035 edge:29533
par:13 size:4034 edge:30083
par:14 size:4034 edge:32538
par:15 size:4034 edge:33639
par:16 size:4035 edge:31190
par:17 size:4034 edge:30369
par:18 size:4035 edge:37084
par:19 size:4034 edge:25550
par:20 size:4035 edge:27603
par:21 size:4034 edge:26359
par:22 size:4034 edge:25942
par:23 size:4035 edge:24375
par:24 size:4034 edge:25127
par:25 size:4035 edge:24275
par:26 size:4035 edge:26154
par:27 size:4034 edge:24511
par:28 size:4035 edge:24097
par:29 size:4035 edge:22005
par:30 size:4034 edge:21553
par:31 size:4035 edge:20952
------------
begin solve ../data/out.actor-movie
load data ok!
runtime:17800
par:0 size:739 edge:7067
par:1 size:2017 edge:18311
par:2 size:2017 edge:19150
par:3 size:2017 edge:19254
par:4 size:2017 edge:18095
par:5 size:2018 edge:18712
par:6 size:2018 edge:18180
par:7 size:2017 edge:18929
par:8 size:2017 edge:20628
par:9 size:2017 edge:18276
par:10 size:2018 edge:18889
par:11 size:2017 edge:18493
par:12 size:2018 edge:17537
par:13 size:2017 edge:17521
par:14 size:2018 edge:21230
par:15 size:2017 edge:19445
par:16 size:2017 edge:18981
par:17 size:2017 edge:19135
par:18 size:2018 edge:16962
par:19 size:2017 edge:18855
par:20 size:2017 edge:18026
par:21 size:2017 edge:18042
par:22 size:2017 edge:18527
par:23 size:2017 edge:19057
par:24 size:2017 edge:18980
par:25 size:2017 edge:18052
par:26 size:2017 edge:17099
par:27 size:2018 edge:18461
par:28 size:2017 edge:17223
par:29 size:2017 edge:19768
par:30 size:2017 edge:18115
par:31 size:2017 edge:17532
par:32 size:2017 edge:19552
par:33 size:2017 edge:16916
par:34 size:2017 edge:16437
par:35 size:2017 edge:18039
par:36 size:2018 edge:17779
par:37 size:2017 edge:17320
par:38 size:2018 edge:17221
par:39 size:2017 edge:17732
par:40 size:2017 edge:18646
par:41 size:2017 edge:18752
par:42 size:2018 edge:17622
par:43 size:2017 edge:16751
par:44 size:2017 edge:17503
par:45 size:2017 edge:16529
par:46 size:2017 edge:15947
par:47 size:2017 edge:17052
par:48 size:2017 edge:16888
par:49 size:2017 edge:17858
par:50 size:2017 edge:17305
par:51 size:2017 edge:17273
par:52 size:2017 edge:16335
par:53 size:2017 edge:16255
par:54 size:2017 edge:16245
par:55 size:2017 edge:16608
par:56 size:2018 edge:15721
par:57 size:2018 edge:15763
par:58 size:2017 edge:16297
par:59 size:2018 edge:16067
par:60 size:2017 edge:15931
par:61 size:2017 edge:15209
par:62 size:2017 edge:15460
par:63 size:2017 edge:16017
------------
begin solve ../data/out.actor-movie-swap.txt
load data ok!
runtime:4355
par:0 size:189903 edge:121690
par:1 size:193737 edge:86875
------------
begin solve ../data/out.actor-movie-swap.txt
load data ok!
runtime:5140
par:0 size:93033 edge:104793
par:1 size:96869 edge:95816
par:2 size:96869 edge:59673
par:3 size:96869 edge:43722
------------
begin solve ../data/out.actor-movie-swap.txt
load data ok!
runtime:7795
par:0 size:44598 edge:78731
par:1 size:48434 edge:87724
par:2 size:48434 edge:58190
par:3 size:48435 edge:54323
par:4 size:48434 edge:48423
par:5 size:48435 edge:37314
par:6 size:48435 edge:27627
par:7 size:48435 edge:27608
------------
begin solve ../data/out.actor-movie-swap.txt
load data ok!
runtime:11651
par:0 size:20381 edge:50417
par:1 size:24217 edge:68565
par:2 size:24218 edge:62831
par:3 size:24217 edge:50585
par:4 size:24217 edge:41199
par:5 size:24217 edge:35147
par:6 size:24217 edge:35593
par:7 size:24217 edge:34419
par:8 size:24217 edge:33869
par:9 size:24217 edge:25936
par:10 size:24218 edge:24648
par:11 size:24217 edge:21128
par:12 size:24218 edge:21888
par:13 size:24217 edge:20847
par:14 size:24218 edge:19422
par:15 size:24217 edge:18953
------------
begin solve ../data/out.actor-movie-swap.txt
load data ok!
runtime:16682
par:0 size:8272 edge:23077
par:1 size:12108 edge:52436
par:2 size:12109 edge:34603
par:3 size:12107 edge:42319
par:4 size:12108 edge:36717
par:5 size:12109 edge:33862
par:6 size:12109 edge:38077
par:7 size:12109 edge:29928
par:8 size:12108 edge:29917
par:9 size:12108 edge:24362
par:10 size:12109 edge:25860
par:11 size:12108 edge:21344
par:12 size:12109 edge:27165
par:13 size:12109 edge:31203
par:14 size:12109 edge:22514
par:15 size:12108 edge:19916
par:16 size:12108 edge:21195
par:17 size:12108 edge:17700
par:18 size:12109 edge:19878
par:19 size:12108 edge:17866
par:20 size:12109 edge:16761
par:21 size:12109 edge:17725
par:22 size:12109 edge:16492
par:23 size:12109 edge:16921
par:24 size:12109 edge:15663
par:25 size:12109 edge:16440
par:26 size:12109 edge:16652
par:27 size:12109 edge:15962
par:28 size:12109 edge:14775
par:29 size:12109 edge:15474
par:30 size:12109 edge:15287
par:31 size:12109 edge:14678
------------
begin solve ../data/out.actor-movie-swap.txt
load data ok!
runtime:21751
par:0 size:2218 edge:6433
par:1 size:6054 edge:19141
par:2 size:6055 edge:26007
par:3 size:6054 edge:18732
par:4 size:6054 edge:20911
par:5 size:6054 edge:24995
par:6 size:6054 edge:23870
par:7 size:6055 edge:31897
par:8 size:6054 edge:19612
par:9 size:6054 edge:20395
par:10 size:6055 edge:18009
par:11 size:6054 edge:20210
par:12 size:6054 edge:28292
par:13 size:6054 edge:19549
par:14 size:6054 edge:16928
par:15 size:6054 edge:18393
par:16 size:6054 edge:20106
par:17 size:6054 edge:15092
par:18 size:6054 edge:16519
par:19 size:6054 edge:16584
par:20 size:6054 edge:15808
par:21 size:6054 edge:18319
par:22 size:6054 edge:16710
par:23 size:6054 edge:16526
par:24 size:6054 edge:16534
par:25 size:6054 edge:17071
par:26 size:6054 edge:16869
par:27 size:6054 edge:14665
par:28 size:6054 edge:15500
par:29 size:6054 edge:16042
par:30 size:6054 edge:15954
par:31 size:6054 edge:16322
par:32 size:6054 edge:15660
par:33 size:6054 edge:16031
par:34 size:6055 edge:15144
par:35 size:6054 edge:14840
par:36 size:6054 edge:14029
par:37 size:6055 edge:15262
par:38 size:6054 edge:14822
par:39 size:6054 edge:15160
par:40 size:6054 edge:15330
par:41 size:6055 edge:15756
par:42 size:6055 edge:14478
par:43 size:6055 edge:15164
par:44 size:6054 edge:14835
par:45 size:6054 edge:13911
par:46 size:6054 edge:14589
par:47 size:6055 edge:15428
par:48 size:6054 edge:14005
par:49 size:6055 edge:13768
par:50 size:6055 edge:13921
par:51 size:6054 edge:15180
par:52 size:6055 edge:14869
par:53 size:6054 edge:14744
par:54 size:6055 edge:14464
par:55 size:6054 edge:14346
par:56 size:6054 edge:13750
par:57 size:6055 edge:14014
par:58 size:6055 edge:13499
par:59 size:6055 edge:13214
par:60 size:6055 edge:12720
par:61 size:6055 edge:13603
par:62 size:6055 edge:13473
par:63 size:6055 edge:13787
------------
begin solve ../data/out.dbpedia-team
load data ok!
runtime:4572
par:0 size:446077 edge:27944
par:1 size:455089 edge:20296
------------
begin solve ../data/out.dbpedia-team
load data ok!
runtime:5926
par:0 size:218533 edge:22038
par:1 size:227544 edge:17430
par:2 size:227544 edge:14351
par:3 size:227545 edge:12523
------------
begin solve ../data/out.dbpedia-team
load data ok!
runtime:7191
par:0 size:104761 edge:16772
par:1 size:113772 edge:14613
par:2 size:113772 edge:12483
par:3 size:113772 edge:11196
par:4 size:113772 edge:10262
par:5 size:113772 edge:9369
par:6 size:113772 edge:8886
par:7 size:113773 edge:8310
------------
begin solve ../data/out.dbpedia-team
load data ok!
runtime:9241
par:0 size:47875 edge:12253
par:1 size:56886 edge:11783
par:2 size:56886 edge:10506
par:3 size:56886 edge:9577
par:4 size:56886 edge:9016
par:5 size:56886 edge:8391
par:6 size:56886 edge:8236
par:7 size:56886 edge:7818
par:8 size:56886 edge:7604
par:9 size:56886 edge:7263
par:10 size:56886 edge:7268
par:11 size:56886 edge:7144
par:12 size:56886 edge:7100
par:13 size:56886 edge:6827
par:14 size:56886 edge:6737
par:15 size:56887 edge:6677
------------
begin solve ../data/out.dbpedia-team
load data ok!
runtime:16133
par:0 size:19432 edge:8050
par:1 size:28443 edge:9146
par:2 size:28443 edge:8507
par:3 size:28443 edge:7850
par:4 size:28443 edge:7608
par:5 size:28443 edge:7318
par:6 size:28443 edge:7059
par:7 size:28443 edge:7012
par:8 size:28443 edge:6910
par:9 size:28443 edge:6750
par:10 size:28443 edge:6701
par:11 size:28443 edge:6511
par:12 size:28443 edge:6461
par:13 size:28443 edge:6487
par:14 size:28443 edge:6394
par:15 size:28443 edge:6287
par:16 size:28443 edge:6428
par:17 size:28443 edge:6279
par:18 size:28443 edge:6369
par:19 size:28443 edge:6155
par:20 size:28443 edge:6291
par:21 size:28443 edge:6124
par:22 size:28443 edge:6037
par:23 size:28443 edge:6075
par:24 size:28443 edge:6067
par:25 size:28443 edge:6049
par:26 size:28443 edge:6044
par:27 size:28443 edge:6009
par:28 size:28443 edge:5906
par:29 size:28443 edge:5890
par:30 size:28443 edge:6039
par:31 size:28444 edge:5832
------------
begin solve ../data/out.dbpedia-team
load data ok!
runtime:20005
par:0 size:5210 edge:3842
par:1 size:14221 edge:6883
par:2 size:14221 edge:6536
par:3 size:14221 edge:6482
par:4 size:14221 edge:6170
par:5 size:14221 edge:6145
par:6 size:14221 edge:6137
par:7 size:14221 edge:5992
par:8 size:14221 edge:5886
par:9 size:14221 edge:5950
par:10 size:14221 edge:5911
par:11 size:14221 edge:5891
par:12 size:14221 edge:5879
par:13 size:14221 edge:5823
par:14 size:14221 edge:5899
par:15 size:14221 edge:5912
par:16 size:14221 edge:5860
par:17 size:14221 edge:5844
par:18 size:14221 edge:5786
par:19 size:14221 edge:5802
par:20 size:14221 edge:5721
par:21 size:14221 edge:5712
par:22 size:14221 edge:5699
par:23 size:14221 edge:5649
par:24 size:14221 edge:5701
par:25 size:14221 edge:5729
par:26 size:14221 edge:5749
par:27 size:14221 edge:5807
par:28 size:14222 edge:5624
par:29 size:14221 edge:5637
par:30 size:14221 edge:5680
par:31 size:14222 edge:5727
par:32 size:14221 edge:5713
par:33 size:14222 edge:5618
par:34 size:14222 edge:5851
par:35 size:14222 edge:5699
par:36 size:14222 edge:5710
par:37 size:14222 edge:5526
par:38 size:14222 edge:5702
par:39 size:14222 edge:5765
par:40 size:14222 edge:5613
par:41 size:14222 edge:5693
par:42 size:14222 edge:5644
par:43 size:14222 edge:5652
par:44 size:14222 edge:5760
par:45 size:14222 edge:5647
par:46 size:14222 edge:5621
par:47 size:14222 edge:5815
par:48 size:14222 edge:5593
par:49 size:14222 edge:5608
par:50 size:14222 edge:5642
par:51 size:14222 edge:5709
par:52 size:14222 edge:5622
par:53 size:14222 edge:5698
par:54 size:14222 edge:5592
par:55 size:14222 edge:5508
par:56 size:14222 edge:5704
par:57 size:14222 edge:5632
par:58 size:14222 edge:5566
par:59 size:14222 edge:5653
par:60 size:14222 edge:5539
par:61 size:14222 edge:5480
par:62 size:14222 edge:5620
par:63 size:14222 edge:5553
------------
begin solve ../data/out.dbpedia-team-swap.txt
load data ok!
runtime:3299
par:0 size:17059 edge:561505
par:1 size:17402 edge:381262
------------
begin solve ../data/out.dbpedia-team-swap.txt
load data ok!
runtime:4539
par:0 size:8434 edge:326315
par:1 size:8779 edge:390487
par:2 size:8471 edge:176825
par:3 size:8777 edge:93624
------------
begin solve ../data/out.dbpedia-team-swap.txt
load data ok!
runtime:6082
par:0 size:4008 edge:164943
par:1 size:4353 edge:273490
par:2 size:4349 edge:151028
par:3 size:4348 edge:153446
par:4 size:4344 edge:136976
par:5 size:4353 edge:89138
par:6 size:4353 edge:52045
par:7 size:4353 edge:40651
------------
begin solve ../data/out.dbpedia-team-swap.txt
load data ok!
runtime:8209
par:0 size:1832 edge:80851
par:1 size:2170 edge:105337
par:2 size:2175 edge:123639
par:3 size:2176 edge:101994
par:4 size:2176 edge:157635
par:5 size:2174 edge:83771
par:6 size:2176 edge:89566
par:7 size:2176 edge:46565
par:8 size:2177 edge:71060
par:9 size:2176 edge:37603
par:10 size:2174 edge:47121
par:11 size:2175 edge:62041
par:12 size:2176 edge:31667
par:13 size:2176 edge:29547
par:14 size:2176 edge:23306
par:15 size:2176 edge:31096
------------
begin solve ../data/out.dbpedia-team-swap.txt
load data ok!
runtime:11115
par:0 size:743 edge:24102
par:1 size:1088 edge:68368
par:2 size:1088 edge:69017
par:3 size:1088 edge:52460
par:4 size:1087 edge:44143
par:5 size:1088 edge:50966
par:6 size:1088 edge:54824
par:7 size:1088 edge:34184
par:8 size:1088 edge:55313
par:9 size:1088 edge:35759
par:10 size:1088 edge:33190
par:11 size:1088 edge:51446
par:12 size:1087 edge:35820
par:13 size:1087 edge:43553
par:14 size:1087 edge:46232
par:15 size:1088 edge:37252
par:16 size:1086 edge:25468
par:17 size:1087 edge:32360
par:18 size:1088 edge:53506
par:19 size:1088 edge:34401
par:20 size:1088 edge:63084
par:21 size:1088 edge:39749
par:22 size:1087 edge:31094
par:23 size:1087 edge:24054
par:24 size:1087 edge:20958
par:25 size:1088 edge:18262
par:26 size:1088 edge:21547
par:27 size:1088 edge:17584
par:28 size:1088 edge:18511
par:29 size:1088 edge:17626
par:30 size:1088 edge:19863
par:31 size:1088 edge:17311
------------
begin solve ../data/out.dbpedia-team-swap.txt
load data ok!
runtime:12632
par:0 size:199 edge:7636
par:1 size:544 edge:22982
par:2 size:543 edge:23900
par:3 size:544 edge:41253
par:4 size:541 edge:28324
par:5 size:544 edge:26098
par:6 size:544 edge:30098
par:7 size:543 edge:22679
par:8 size:542 edge:18514
par:9 size:544 edge:15633
par:10 size:543 edge:28429
par:11 size:543 edge:18713
par:12 size:543 edge:26187
par:13 size:544 edge:22100
par:14 size:544 edge:29516
par:15 size:544 edge:15333
par:16 size:544 edge:22838
par:17 size:544 edge:15804
par:18 size:544 edge:24400
par:19 size:544 edge:19239
par:20 size:544 edge:31337
par:21 size:544 edge:35765
par:22 size:544 edge:17973
par:23 size:544 edge:27645
par:24 size:544 edge:30410
par:25 size:544 edge:14335
par:26 size:544 edge:19760
par:27 size:544 edge:15035
par:28 size:544 edge:15368
par:29 size:544 edge:18138
par:30 size:544 edge:14451
par:31 size:544 edge:24392
par:32 size:544 edge:15111
par:33 size:544 edge:25212
par:34 size:544 edge:15259
par:35 size:544 edge:24223
par:36 size:544 edge:22799
par:37 size:544 edge:20586
par:38 size:544 edge:16795
par:39 size:544 edge:22963
par:40 size:544 edge:19223
par:41 size:544 edge:17308
par:42 size:544 edge:16232
par:43 size:544 edge:22560
par:44 size:544 edge:14302
par:45 size:544 edge:18208
par:46 size:544 edge:18365
par:47 size:544 edge:15741
par:48 size:544 edge:20277
par:49 size:544 edge:14367
par:50 size:544 edge:15497
par:51 size:544 edge:22263
par:52 size:544 edge:9448
par:53 size:544 edge:9846
par:54 size:544 edge:17815
par:55 size:544 edge:15872
par:56 size:544 edge:18207
par:57 size:544 edge:18055
par:58 size:544 edge:17483
par:59 size:544 edge:14329
par:60 size:544 edge:12704
par:61 size:544 edge:15143
par:62 size:544 edge:21020
par:63 size:544 edge:11041
------------
24645
15317
sum:39962
max partition:450565
min partition:450565
20830
9406
4522
11751
sum:46509
max partition:225283
min partition:225282
16860
10543
7271
5193
3457
2068
1409
10415
sum:57216
max partition:112642
min partition:112641
13001
10042
7903
6422
5131
4531
3350
3453
2717
1737
1723
1029
516
732
2201
8323
sum:72811
max partition:56321
min partition:56320
9000
8135
7348
6859
5914
5509
4636
4297
3668
3232
3275
2908
3018
2388
2465
2120
1830
1502
1702
1132
1121
789
891
513
361
209
203
453
919
1330
2598
5815
sum:96140
max partition:28161
min partition:28160
5484
5502
5300
5817
5192
4608
4474
4641
4467
3989
3455
3884
2866
3495
3185
2799
3159
2879
2576
2361
2480
2084
2117
1822
1614
1908
1230
1675
1784
830
1360
1303
1575
1523
1242
812
655
848
1106
764
774
729
194
672
581
456
418
349
284
254
174
162
115
86
227
287
431
509
658
737
1037
1415
2844
3032
sum:125290
max partition:14081
min partition:14080
825068
91564
sum:916632
max partition:17231
min partition:17230
725927
128339
37195
54186
sum:945647
max partition:8616
min partition:8615
473222
308542
101667
24860
19586
17918
39309
15521
sum:1000625
max partition:4308
min partition:4307
214335
237123
229839
143994
71262
42887
12184
10036
11389
8891
9190
8524
16363
22581
7943
7305
sum:1053846
max partition:2154
min partition:2153
94130
156680
135919
121989
160418
92560
73311
49401
37736
31088
23695
10762
6167
5720
5027
12439
5576
4709
4501
4220
4663
5186
4006
4637
7352
9908
18082
4011
4246
3868
3348
3899
sum:1109254
max partition:1077
min partition:1076
60467
74656
78712
53931
73301
101576
69419
50709
49506
59477
48358
60646
30097
35570
33594
35482
21967
32418
15266
12438
12286
9350
7877
4018
3139
2618
2420
3618
3142
2279
2864
2390
2789
2116
2477
2372
2372
2297
2012
2538
2077
2698
2646
1758
1733
1993
2203
2359
3216
3619
4138
5921
13567
4266
1795
2339
2201
2057
2091
1911
1824
1615
1644
2210
sum:1144445
max partition:539
min partition:538
./cmd basic 2>result-basic.txt
