# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
solving  wiki_new.txt-swap.txt   1
solving  wiki_new.txt-swap.txt   3
solving  wiki_new.txt-swap.txt   8
solving  wiki_new.txt-swap.txt   10
solving  wiki_new.txt-swap.txt   14
solving  wiki_new.txt-swap.txt   2
solving  wiki_new.txt-swap.txt   0
solving  wiki_new.txt-swap.txt   13
solving  wiki_new.txt-swap.txt   12
solving  wiki_new.txt-swap.txt   4
solving  wiki_new.txt-swap.txt   11
path: ../data/
dataset: wiki_new.txt-swap.txt
solving  wiki_new.txt-swap.txt   9
solving  wiki_new.txt-swap.txt   31
solving  wiki_new.txt-swap.txt   7
solving  wiki_new.txt-swap.txt   5
solving  wiki_new.txt-swap.txt   27
solving  wiki_new.txt-swap.txt   21
solving  wiki_new.txt-swap.txt   15
solving  wiki_new.txt-swap.txt   17
solving  wiki_new.txt-swap.txt   16
solving  wiki_new.txt-swap.txt   6
solving  wiki_new.txt-swap.txt   29
solving  wiki_new.txt-swap.txt   19
solving  wiki_new.txt-swap.txt   30
solving  wiki_new.txt-swap.txt   1
solving  wiki_new.txt-swap.txt   26
solving  wiki_new.txt-swap.txt   22
solving  wiki_new.txt-swap.txt   3
solving  wiki_new.txt-swap.txt   18
solving  wiki_new.txt-swap.txt   8
solving  wiki_new.txt-swap.txt   10
solving  wiki_new.txt-swap.txt   14
solving  wiki_new.txt-swap.txt   2
solving  wiki_new.txt-swap.txt   0
solving  wiki_new.txt-swap.txt   20
solving  wiki_new.txt-swap.txt   13
solving  wiki_new.txt-swap.txt   12
solving  wiki_new.txt-swap.txt   23
solving  wiki_new.txt-swap.txt   25
solving  wiki_new.txt-swap.txt   4
solving  wiki_new.txt-swap.txt   24
solving  wiki_new.txt-swap.txt   28
solving  wiki_new.txt-swap.txt   11
path: ../data/
dataset: wiki_new.txt-swap.txt
solving  wiki_new.txt-swap.txt   61
solving  wiki_new.txt-swap.txt   9
solving  wiki_new.txt-swap.txt   31
solving  wiki_new.txt-swap.txt   58
solving  wiki_new.txt-swap.txt   7
solving  wiki_new.txt-swap.txt   39
solving  wiki_new.txt-swap.txt   46
solving  wiki_new.txt-swap.txt   5
solving  wiki_new.txt-swap.txt   40
solving  wiki_new.txt-swap.txt   27
solving  wiki_new.txt-swap.txt   21
solving  wiki_new.txt-swap.txt   37
solving  wiki_new.txt-swap.txt   43
solving  wiki_new.txt-swap.txt   15
solving  wiki_new.txt-swap.txt   54
solving  wiki_new.txt-swap.txt   17
solving  wiki_new.txt-swap.txt   16
solving  wiki_new.txt-swap.txt   6
solving  wiki_new.txt-swap.txt   53
solving  wiki_new.txt-swap.txt   35
solving  wiki_new.txt-swap.txt   29
solving  wiki_new.txt-swap.txt   19
solving  wiki_new.txt-swap.txt   32
solving  wiki_new.txt-swap.txt   33
solving  wiki_new.txt-swap.txt   30
solving  wiki_new.txt-swap.txt   1
solving  wiki_new.txt-swap.txt   56
solving  wiki_new.txt-swap.txt   55
solving  wiki_new.txt-swap.txt   45
solving  wiki_new.txt-swap.txt   26
solving  wiki_new.txt-swap.txt   52
solving  wiki_new.txt-swap.txt   22
solving  wiki_new.txt-swap.txt   3
solving  wiki_new.txt-swap.txt   63
solving  wiki_new.txt-swap.txt   18
solving  wiki_new.txt-swap.txt   51
solving  wiki_new.txt-swap.txt   50
solving  wiki_new.txt-swap.txt   62
solving  wiki_new.txt-swap.txt   8
solving  wiki_new.txt-swap.txt   48
solving  wiki_new.txt-swap.txt   10
solving  wiki_new.txt-swap.txt   44
solving  wiki_new.txt-swap.txt   14
solving  wiki_new.txt-swap.txt   2
solving  wiki_new.txt-swap.txt   0
solving  wiki_new.txt-swap.txt   20
solving  wiki_new.txt-swap.txt   13
solving  wiki_new.txt-swap.txt   12
solving  wiki_new.txt-swap.txt   59
solving  wiki_new.txt-swap.txt   23
solving  wiki_new.txt-swap.txt   49
solving  wiki_new.txt-swap.txt   25
solving  wiki_new.txt-swap.txt   41
solving  wiki_new.txt-swap.txt   57
solving  wiki_new.txt-swap.txt   4
solving  wiki_new.txt-swap.txt   47
solving  24982
29732
sum:54714
max partition:86040
min partition:86039
15428
10040
8454
21798
sum:55720
max partition:43020
min partition:43019
8089
7384
6458
4892
4112
3765
7925
14169
sum:56794
max partition:21510
min partition:21509
4133
3896
4079
3428
3884
3222
2541
2268
2119
2155
1966
2302
3240
4507
5876
8325
sum:57941
max partition:10755
min partition:10754
1940
2543
1769
1701
2029
2053
1882
2512
1441
1487
1983
1412
1412
1475
1031
986
1379
1120
1042
966
961
1230
1089
1204
1532
