,method,dataset,p,neigh,neighTot,edgeCopy
285,KaHyPar,wiki_new.txt,4,7398574,20911252,15580
286,random,wiki_new.txt,4,5234468,20911252,34398
287,entropy,out.dbpedia-location,4,85245368,245450946,1484
288,HYPE,out.dbpedia-location,4,111015182,245450946,5580
289,MinMax,out.dbpedia-location,4,62815838,245450946,42670
290,KaHyPar,out.dbpedia-location,4,118382080,245450946,702
291,random,out.dbpedia-location,4,61363222,245450946,102634
292,entropy,out.dblp-author,4,21433640,29486618,1970144
293,HYPE,out.dblp-author,4,19907356,29486618,2970824
294,MinMax,out.dblp-author,4,16184134,29486618,4471204
295,random,out.dblp-author,4,7367990,29486618,10675534
