method,dataset,p,k-1,ParTime
entropy,out.orkut-groupmemberships-swap.txt,32,13916285,730412
entropy,out.orkut-groupmemberships-swap.txt,64,19503372,984710
entropy,out.orkut-groupmemberships-swap.txt,128,26251443,1369079
entropy,out.orkut-groupmemberships-swap.txt,256,34237272,1963880
entropy,enwiki.txt,2,937530,429451
entropy,enwiki.txt,4,1960657,434503
entropy,enwiki.txt,8,3397636,443902
entropy,enwiki.txt,16,5269430,478837
entropy,enwiki.txt,32,7660649,513081
entropy,enwiki.txt,64,10756233,604376
entropy,enwiki.txt,128,14851607,696274
entropy,enwiki.txt,256,20443465,879770
entropy,enwiki-swap.txt,2,19025,558530
entropy,enwiki-swap.txt,4,765685,620681
entropy,enwiki-swap.txt,8,1540402,750430
entropy,enwiki-swap.txt,16,2573854,1007046
entropy,enwiki-swap.txt,32,3983209,1536842
entropy,enwiki-swap.txt,64,5784262,2523775
entropy,enwiki-swap.txt,128,8024371,4325990
entropy,enwiki-swap.txt,256,10799035,7943438
anti-basic,out.github,2,6476,357
anti-basic,out.github,4,13370,348
anti-basic,out.github,8,24767,357
anti-basic,out.github,16,39357,379
anti-basic,out.github,32,55903,433
anti-basic,out.github,64,73997,503
anti-basic,out.github,128,92969,603
anti-basic,out.github,256,114461,736
anti-basic,out.github-swap.txt,2,11039,472
anti-basic,out.github-swap.txt,4,19499,473
anti-basic,out.github-swap.txt,8,25697,462
anti-basic,out.github-swap.txt,16,34996,486
anti-basic,out.github-swap.txt,32,47850,528
anti-basic,out.github-swap.txt,64,62785,597
anti-basic,out.github-swap.txt,128,80082,691
anti-basic,out.github-swap.txt,256,98177,805
anti-basic,out.actor-movie,2,57628,1403
anti-basic,out.actor-movie,4,116880,1409
anti-basic,out.actor-movie,8,153890,1413
anti-basic,out.actor-movie,16,200920,1439
anti-basic,out.actor-movie,32,238510,1492
anti-basic,out.actor-movie,64,307119,1626
anti-basic,out.actor-movie,128,361980,1724
anti-basic,out.actor-movie,256,444280,1947
anti-basic,out.actor-movie-swap.txt,2,39250,1690
anti-basic,out.actor-movie-swap.txt,4,67456,1693
anti-basic,out.actor-movie-swap.txt,8,121984,1755
anti-basic,out.actor-movie-swap.txt,16,190414,1891
anti-basic,out.actor-movie-swap.txt,32,250507,2082
anti-basic,out.actor-movie-swap.txt,64,299142,2143
anti-basic,out.actor-movie-swap.txt,128,346903,2230
anti-basic,out.actor-movie-swap.txt,256,403031,2380
anti-basic,out.dblp-author,2,488726,17998
anti-basic,out.dblp-author,4,969257,18479
anti-basic,out.dblp-author,8,1445397,18533
anti-basic,out.dblp-author,16,1908990,16718
anti-basic,out.dblp-author,32,2279796,14875
anti-basic,out.dblp-author,64,2522819,14668
anti-basic,out.dblp-author,128,2676375,14229
anti-basic,out.dblp-author,256,2773359,13990
anti-basic,out.dblp-author-swap.txt,2,530250,23818
anti-basic,out.dblp-author-swap.txt,4,1019499,25582
anti-basic,out.dblp-author-swap.txt,8,1142424,27292
anti-basic,out.dblp-author-swap.txt,16,1294859,28070
anti-basic,out.dblp-author-swap.txt,32,1491940,28034
anti-basic,out.dblp-author-swap.txt,64,1702526,27611
